地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京,27.8,30.6,29.2,26.2,23,22.7,21.9,21.3
天津,26.9,29.2,28.6,25.7,29,29.3,28.5,25.7
河北,45.3,42.4,41.6,39.7,38.8,36.9,37.1,34.7
山西,35,32.6,31.7,32,30.5,31.1,31,31.5
内蒙古,30.1,32.3,28.6,29.2,29.7,28.7,27.8,25.9
辽宁,33.6,32,31.3,30.7,28.9,26,25.5,28.4
吉林,32.7,32.7,30.7,29.7,28.8,27.3,25,27.3
黑龙江,29.5,28.3,28.2,27.3,26.6,26.5,26.5,24.6
上海,33,31.9,29.3,28.5,24.7,25,21.2,19.3
江苏,38.9,37.7,37.4,35.6,34.8,34.4,32.7,31.2
浙江,36.4,32.7,32.6,31.9,27.6,26.8,26.7,26.9
安徽,46.6,47.3,40.9,40.8,39.5,40.8,39.7,39.9
福建,35.5,38.9,39.4,36.2,33.7,33.4,33.9,30.6
江西,42.9,45.7,44.6,44,42.8,40.3,42.1,41
山东,49.6,44.1,40,38.9,37.5,36,36.3,35.7
河南,47.8,46.4,44.6,44.6,42.2,42.2,41.6,41.9
湖北,38.6,39,37.1,35.9,35.6,33.1,33.1,32.3
湖南,47,44.1,43,42.1,41.2,40.5,42.4,39.6
广东,33.6,32.6,32.3,30.5,32.9,31.5,30.5,31.2
广西,46.8,47.1,45,47.9,45.8,44.4,46.9,46
海南,37.7,38.9,38.9,39.4,36.4,36.8,35.8,36.6
重庆,45.8,44.2,41.7,40.6,41.6,40.6,41.5,39.8
四川,45.7,42.4,42.2,40.5,43.3,41.5,39,39.3
贵州,50.6,45.4,46.8,46.9,45.6,45.7,47.3,49.9
云南,38.2,37.6,38.7,38,38.3,39,37.6,37.5
西藏,41.3,42.4,40.9,41.4,43,39.7,38,38.7
陕西,34.3,36.5,34.4,34,34.3,33.2,30.4,30.7
甘肃,40.7,38.7,36.8,36,33.9,34.8,34.8,34.7
青海,37.3,38.8,36.9,37.3,34.1,37.1,38.2,36
宁夏,41,36.7,36.9,37.9,36.1,37.6,38.9,35.9
新疆,42.4,43.2,42.4,40.7,38.9,37.4,37.5,36.2
