地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京,1.4,1.4,1.4,1.4,1.3,1.2,1.3,1.4
天津,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6
河北,3.3,3.7,3.7,3.6,3.6,3.7,3.7,3.8
山西,3.3,3.4,3.5,3.5,3.4,3.1,3.3,3.5
内蒙古,3.6,3.6,3.7,3.7,3.6,3.7,3.7,3.8
辽宁,3.9,3.8,3.8,3.4,3.4,3.4,3.6,3.7
吉林,3.5,3.5,3.5,3.5,3.4,3.7,3.7,3.7
黑龙江,4,4.2,4.2,4.5,4.5,4.4,4.2,4.1
上海,3.5,3.9,4.1,4,4.1,4,3.1,3.5
江苏,3,3,3,3,3,3,3.1,3.2
浙江,2.6,2.7,2.9,2.9,3,3,3,3.1
安徽,2.8,2.9,3.2,3.1,3.2,3.4,3.7,3.7
福建,3.7,3.9,3.9,3.7,3.5,3.6,3.6,3.7
江西,3.4,3.3,3.4,3.4,3.3,3.2,3,3
山东,3.4,3.4,3.5,3.4,3.3,3.2,3.3,3.4
河南,3,2.8,3,3,3,3.1,3.1,3.4
湖北,2.6,2.6,2.4,2.6,3.1,3.5,3.8,4.1
湖南,3.6,4,4.2,4.1,4.1,4.2,4.2,4.2
广东,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5
广西,2.3,2.2,2.9,2.9,3.2,3.3,3.4,3.5
海南,2.3,2.3,2.4,2.3,2.3,2.2,2,1.7
重庆,3,3.4,3.7,3.6,3.5,3.4,3.3,3.5
四川,3.5,4,4.2,4.1,4.2,4.1,4,4.2
贵州,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.6
云南,3.4,3.2,3.6,4,4,4,4,4.1
西藏,2.8,2.7,2.6,2.5,2.5,2.5,2.6,3.2
陕西,3.2,3.3,3.3,3.4,3.3,3.3,3.2,3.6
甘肃,2.8,2.7,2.2,2.1,2.2,2.3,2.7,3.1
青海,3,3.1,3.1,3.2,3.2,3.3,3.4,3.8
宁夏,3.9,3.9,3.9,4,4,4.1,4.2,4.4
新疆,2.4,2.6,2.5,2.9,3.2,3.4,3.4,3.2
